"Ref","Sous-theme","Question","A","B","C","D","Explication"
"T1-034","Business gifts / Sapin II","What does the acronym AFA, tied to the Sapin II Act, stand for?","Association financière des affaires (Financial Business Association)","Agence française anticorruption (French Anti-Corruption Agency)","Autorité des fournisseurs agréés (Authority for Approved Suppliers)","Agence des fraudes et des avoirs (Fraud and Assets Agency)","The AFA oversees the anti-corruption regime and classes gifts as ""ordinary acts of business life""."
"T1-035","Business gifts / Sapin II","In what year was the Sapin II Act passed?","2016","2010","2021","2004","Act no. 2016-1691 dates from 9 December 2016."
"T1-036","Circles of influence","For France's leading business figures, what do circles such as the Jockey or the Automobile Club de France chiefly serve?","doing business *l'air de rien* (as though nothing were afoot), in hushed surroundings","contesting regular sporting tournaments between members","giving press conferences in a chosen and discreet setting","recruiting young executives from the *grandes écoles* (France's elite higher schools)","These circles allow business relationships to be woven without ever being displayed head-on."
"T1-037","Grands corps","Which institution has replaced the ENA in training France's senior civil service?","the INSP (Institut national du service public)","the ENS (École normale supérieure)","HEC (École des hautes études commerciales)","the IEP de Paris (Institut d'études politiques)","The ENA became the INSP; together with Polytechnique and the Inspection des Finances, it structures the *noblesse d'État*."
"T1-038","Grands corps","The expression *esprit de corps* denotes:","the solidarity and mutual sponsorship between graduates of one and the same corps","the internal discipline that governs the life of a business house","the banking secrecy that protects private clients' assets from disclosure","the physical rigour required of career officers in the armed forces","Bourdieu made it the subtitle of *La Noblesse d'État*: solidarity between peers issuing from the same corps."
"T1-039","The Rothschild ethos","""Concordia"" is also the name of:","a Parisian circle founded in the last century","a rival merchant bank established in the City of London","a nineteenth-century treatise on manners","the Rothschilds' family holding company","Taken from the motto ""Concordia, Integritas, Industria"", it names the family's controlling holding company."
"T1-040","Discretion / confidentiality","The confidentiality of the *salon* (the drawing room where society gathers) has its historical source in:","the salons of the Restoration and the July Monarchy","the staff headquarters and trenches of the Great War","the literary cafés and brasseries of the turn of the twentieth century","digital forums and encrypted messaging services","It was there that political and financial alliances were forged away from the public gaze, hence the demand for discretion."
"T1-041","The art of saying no","The French diplomatic art of saying no without giving offence draws its source from:","Anglo-Saxon commercial law, concerned above all with contractual clarity","the philosophy of the Enlightenment, attached to free discussion","Napoleonic military doctrine, founded upon strict subordination","the protocol of the *Ancien Régime*, devised to avert crises of state","Ceremonial kept clashes between individuals from degenerating into conflicts between powers."
"T1-042","Cooptation","Historically, *cooptation* (election by the existing members) served above all to:","open circles to the greatest number and renew their recruitment at regular intervals","hasten recruitment by doing away with formal selection procedures","reduce subscriptions by widening the circle's membership rolls","protect the aristocracy and the *haute bourgeoisie* from opportunistic intrusion","Filtering by sponsorship kept out applications judged untimely or opportunistic."
"T1-043","Grands corps","According to Bourdieu, the *noblesse d'État* (""state nobility"") is the structural heir of:","the *noblesse d'épée* (the nobility of the sword)","the *noblesse d'Empire* (the Napoleonic nobility)","the *noblesse de robe* (the nobility of the robe)","the *noblesse de cloche* (the municipal nobility)","Bourdieu casts it as the heir — at times a genealogical one — of the old *noblesse de robe*."
"T1-044","Sociology of elites","Which sociologists studied the ""repertoire of action"" and the discretion of the *grande bourgeoisie*?","Michel and Monique Pinçon-Charlot","Raymond Boudon and Michel Crozier","Bruno Latour and Luc Boltanski","Émile Durkheim and Marcel Mauss","The Pinçon-Charlots showed that discretion is a hallmark of the *grande bourgeoisie*'s repertoire of action."
"T1-045","Parisian circles","At the Cercle de l'Union interalliée, selection proceeds in particular through:","a formal interview before an admissions committee, followed by a ballot","the mere payment of an annual subscription, with no other formality of entry","a draw by lot among the candidates presented by two sponsors","a written examination on the circle's history and its usages","The candidate is received by an admissions committee and then put to a ballot."
"T2-001","Taboo subjects","At a French bourgeois dinner party, which of these subjects is the most gravely taboo?","the size of your annual bonus","the last film you saw at the cinema","the exhibition you have just seen","your holiday plans for the summer","Money — salary, prices, personal wealth — is the central taboo, and the most distinctly French one."
"T2-002","Taboo subjects","A guest asks your host what he paid for an old master hanging in his drawing room. The host should:","sidestep the financial question by speaking of the artist, the school of painting or the aesthetic emotion","point out firmly that the question is out of place, then steer the conversation elsewhere","give an approximate price range, noting that the market has shifted a great deal since that time","quote the exact sum paid at the time, so as to underline the coherence of his collection","Elegance defuses a material intrusion with a cultural digression, without ever legitimising the question of money."
"T2-003","Subjects that do you credit","To display cultural capital at a French dinner without seeming vulgar, one speaks by preference of:","a Burgundy vintage or a recent exhibition","one's political convictions and party commitments","the yield on one's investments and one's estate","the purchase price of one's country house","Culture, wine, gastronomy, travel and art all do one credit without colliding with the money taboo."
"T2-004","Tone and humour","Which register of humour is most prized in refined French circles?","the schoolboy joke tossed out to the table","implication and tongue-in-cheek wit","the laboured pun, at length explained","bawdy humour slipped in between courses","Wit, understatement and fine irony carry the day; aggression and coarseness are proscribed."
"T2-005","Disagreement and understatement","Someone asserts, with great assurance, a historical claim that is plainly wrong. You:","leave the conversation ostentatiously, so as to mark your disagreement without a word","agree with him, courtesy requiring in your view that contradiction be avoided","set the facts straight at once, with precision and with references, so that the truth may be told","meet the claim with a light phrase (""a most original reading"") and then change the subject","Understatement registers disagreement without humiliating; sparing the other person's comfort outweighs being publicly right."
"T2-006","*Tutoiement* / *vouvoiement*","In a traditional professional setting, who should propose the move to *tutoiement* (addressing one another as *tu*, the familiar form)?","either of the two speakers, indifferently","the more senior or the older person","the woman, in dealings between men and women","the younger, or the latest to join the firm","The initiative belongs to the ""superior"" party in the relationship — the elder, the senior in rank; the reverse is an intrusion."
"T2-007","*Tutoiement* / *vouvoiement*","A young banker is talking warmly with an older client of high standing. *Tutoiement* (use of the familiar *tu*):","can come only from an explicit invitation by the client","settles in on both sides as soon as the tone grows warm","may be proposed by the banker, to ease the relationship","remains set aside, the gap in age and rank making it unwelcome","Gender, age and her standing as the client all compound: the initiative is hers alone."
"T2-008","Flattery","To compliment your hostess lavishly and directly on her fortune and the worth of her house is:","acceptable, so long as the compliment is perfectly sincere","advisable: it is thus that goodwill is built between guests","a mark of good breeding that the lady of the house appreciates","doubly at fault: servile flattery, and the mention of money","Praise should be indirect and rest on a detail — a conversation, a choice of wine — never on money."
"T2-009","Flattery","To convey your regard to a senior executive at a reception, you say:","nothing at all: better silence than to risk the least appearance of flattery","""Your reading of these industrial shifts offers a most stimulating framework""","""A success such as yours must show even in your style of living""","""Your career is quite exceptional; you are a model for each one of us""","French praise bears on the intelligence of an act or an idea, not on the ego by way of generic superlatives."
"T2-010","Listening and drawing others out","To be a good guest in conversation, one should:","ask open questions and draw out those seated beside you","take up the inaccuracies your neighbours let slip","fill the available time with your best anecdotes","shine by holding forth at length on a subject you know well","The art of conversation prizes attentive listening and an even sharing of the floor: the aim is to make the other person shine."
"T2-011","Malicious gossip","In closed circles where families are often related to one another, spreading a malicious rumour damages above all:","the host of the evening","the person who spreads it","the person it targets","the family of the person it targets","Open slander destroys the reputation of its author in a world where everyone knows everyone."
"T2-012","Silence","Faced in company with an indiscreet remark about your income, the most elegant response is:","a cutting retort that puts the indiscreet party in his place","a courteous silence, or a deft turn that changes the subject","leaving the table without a word, to mark your disapproval","giving the exact figure, to cut short any further curiosity","Silence, or understatement, allows one to remain uncommitted and to signal a reservation without ever putting it into words."
"T2-013","Protocol and titles","In France, the protocol title ""Excellence"" (Your Excellency) applies to:","ministers serving in the French government","regional prefects and academy rectors","foreign ambassadors posted to France","the President of the Republic in official exchanges","""Excellence"" does not exist in France's domestic protocol; it is reserved for senior foreign dignitaries."
"T2-014","Letter-writing protocol","In a formal letter in the elevated register, one conveys to one's addressee:","one's ""amitiés"" (warm regards), which suit the elevated register","one's ""considérations affectueuses"" (affectionate consideration), a mark of esteem","one's ""sentiments"" (regards), and not one's ""salutations"" (greetings)","one's ""salutations"" (greetings), as in ""Veuillez agréer mes salutations""","One conveys ""sentiments""; ""Veuillez agréer mes salutations"" is incorrect in the elevated register."
"T2-015","Protocol and titles","A woman addressing a general officer says:","""Mon Général"", just as a man would","""Excellence"", out of deference","""Monsieur le Général""","simply ""Général""","""Mon"" is a contraction of ""Monsieur"", a form reserved to men; a woman therefore says simply ""Général""."
"T2-016","Language and turns of phrase","In the strict bourgeois tradition, saying ""Bon appétit"" before eating is:","obligatory at luncheon, optional at a family dinner","proscribed, because it points to the body's digestive workings","reserved to the lady of the house, who opens the meal","a mark of politeness that every guest at table is expected to show","Wishing someone ""bon appétit"" evokes the physiological side of the meal, which nineteenth-century manuals judged vulgar."
"T2-017","Language and turns of phrase","To leave the table briefly for the lavatory, one says:","""Je reviens, petite pause technique"" (Back in a moment — just a quick comfort break)","""Pourriez-vous m'indiquer les toilettes ?"" (Could you show me to the lavatory?)","""Je vais aux toilettes, j'en ai pour un instant"" (Off to the lavatory — I shan't be long)","""Veuillez m'excuser quelques instants"" (Would you excuse me a moment)","Alluding to a bodily need is proscribed: one slips away discreetly, offering no explanation."
"T2-018","Language and turns of phrase","When a guest sneezes at table, the most refined usage is to:","offer the discomfited guest a handkerchief, in an undertone","say ""À vos souhaits"" (bless you), as common usage has it","say ""À vos amours"", the traditional reply to a second sneeze","ignore the sneeze entirely, as though it had not happened","A sneeze being a bodily event, good manners feign not to notice it, so as to spare embarrassment."
"T2-019","Language and turns of phrase","At a formal introduction, the more elevated way to refer to one's spouse is:","by first name alone, with no further precision","""mon mari"" / ""ma femme"" (my husband / my wife)","""mon époux"" / ""mon épouse"" (my spouse, in the formal register)","""mon homme"" / ""ma compagne"" (my man / my partner)","""Époux/épouse"" marks the bond of marriage in solemn settings; ""mari/femme"" belongs to everyday speech."
"T2-020","Language and turns of phrase","If you have not caught what the person speaking to you said, the most distinguished formula is:","""Pardon ?"" (Sorry?) or ""Je vous demande bien pardon"" (I do beg your pardon)","""Hein ?"" (Eh?), familiar in tone but direct","""Comment ?"" (I beg your pardon?) or ""Je n'ai pas bien saisi"" (I didn't quite catch that)","""Quoi ?"" (What?) or ""Vous disiez quoi, à l'instant ?"" (What was that you just said?)","""Pardon"" strikes a note held to be servile for a mere lapse of hearing; ""Comment ?"" is preferred."
"T2-021","Taboo subjects","Besides money, which two other great subjects are to be avoided in a drawing room?","sporting results and the weather","literature and contemporary art","partisan politics and religion","gastronomy and distant travel","Money, partisan politics and religion form the trio of taboo subjects."
"T2-022","Letter-writing protocol","To direct a letter to one particular person, one writes:","""à l'intention de"" (literally, for the intention of)","""aux bons soins de"" (literally, in the good care of)","""à l'attention de"" (literally, for the attention of)","""pour le compte de"" (literally, on the account of)","""À l'attention de"" directs the letter to its reader; ""à l'intention de"" means ""in honour of, for the benefit of"", and would be wrong here."
"T2-023","Letter-writing protocol","In closing a letter to the President of the Republic, one conveys:","""mes sentiments les meilleurs"" (my very best regards)","""l'expression de ma haute considération"" (the expression of my high consideration)","""l'hommage de mon profond respect"" (the homage of my profound respect)","""mes salutations distinguées"" (my distinguished greetings)","To the head of State one addresses ""l'hommage de mon profond respect"", not a ""considération""."
"T2-024","Letter-writing protocol","A man writing to a woman does not send her his ""sentiments"" (regards), but rather:","his ""pensées"" (thoughts), a turn of phrase held to be more delicate","his ""salutations distinguées"" (distinguished greetings), in a more neutral tone","his ""hommages respectueux"" (respectful homage) or his ""considération"" (consideration)","his ""amitiés"" (warm regards), a mark of measured cordiality","One does not send ""sentiments"" to a person of the opposite sex; ""hommages respectueux"" is the correct form."
"T2-025","Protocol and titles","The title ""Maître"" is used when addressing:","a doctor or a surgeon","a lawyer or a notary","a university professor","an engineer or an architect","""Maître"" is reserved for lawyers and notaries, and for other ministerial officers."
"T2-026","Subjects that do you credit","Talking about the weather at a society dinner is:","the subject that shows you to best advantage","proscribed in well-kept drawing rooms","as taboo as the question of money","permitted, but held to be flat and dull","The weather is a ""safe"" subject but a banal one; culture, wine and travel do one far more credit."
"T2-027","*Tutoiement* / *vouvoiement*","To *tutoyer* a subordinate (address him as *tu*, the familiar form) while he must *vouvoyer* you (address you as *vous*, the formal form) is:","usual between colleagues","a mark of closeness","the hierarchical norm","very badly received","Non-reciprocal *tutoiement* signals a condescension that is keenly resented."
"T2-028","Tone and volume","In refined conversation, raised voices and loud laughter are:","a welcome sign of good fellowship around the table","tolerated once dessert is served, at the meal's end","proscribed, in favour of a measured, controlled tone","the very hallmark of French wit and its quickness","A controlled voice, never loud, is the mark of the refinement inherited from the salons."
"T2-029","Flattery","The French art of indirect, surgical praise has its source in:","the modern literary salons","court life at Versailles","the imperial military circles","the clubs of the Revolution","At Versailles, flattery was an art of precision, designed to set one apart from the common run."
"T2-030","Malicious gossip","The social boundary not to be crossed separates the ""discreet intelligence"" traded among insiders from:","the indirect compliment paid to a third party not present","the courteous silence set against questions that are too indiscreet","the cultivated conversation that occupies the rest of the table","open social calumny, which rebounds upon its author","Intelligence circulates in veiled terms, but to speak ill openly destroys the reputation of whoever carries the tale."
"T2-031","*Tutoiement* / *vouvoiement*","Which linguist analyses the choice between *tu* (familiar) and *vous* (formal) through ""social distance"" and ""communicational solidarity""?","Élisabeth Roudinesco","Julia Kristeva","Simone de Beauvoir","Catherine Kerbrat-Orecchioni","Kerbrat-Orecchioni studies the choice between *tu* and *vous* through social distance and communicational solidarity."
"T2-032","Protocol and titles","One addresses the mayor of a commune as:","""Excellence""","""Monsieur l'Élu""","""Monsieur le Maire""","""Monsieur l'Édile""","One uses the office: ""Monsieur le Maire"", just as one says ""Monsieur le Président""."
"T2-033","*Tutoiement* / *vouvoiement*","In the most traditional bourgeoisie, *vouvoiement* (addressing someone as *vous*, the formal form) may persist:","with those people alone to whom one has not been introduced","even within a married couple, or towards one's parents","for a few weeks, until the acquaintance is established","in professional settings, though not within the family","There, *vouvoiement* is sometimes kept up between husband and wife, or towards one's parents — a lasting mark of deference."
"T2-034","*Tutoiement* / *vouvoiement*","In which circles does *tutoiement* (the familiar *tu*) generally take hold most quickly?","the judiciary and the legal professions","high finance and the old family houses","start-ups, the voluntary sector and sport","diplomacy and the senior corps of the State","Younger generations and these circles move to *tu* far sooner than traditional milieux."
"T2-035","Silence","Faced with a provocation in company, the most refined course is to:","answer back tit for tat, in the same tone","raise your voice to cut the exchange short","let an eloquent pause fall, and say nothing","leave the room without a word, but with a flourish","""Silence is golden"": declining to answer a provocation is a social skill in itself."
"T2-036","Flattery","The ""hommage voilé"" (veiled tribute) denotes:","an indirect, allusive compliment, never laid on thick","a letter of thanks despatched the following morning","a chosen gift, presented without ostentation","a public tribute, laid on before the company","One praises by nuance — a detail, a choice — the very opposite of servile flattery."
"T2-037","Tone and humour","In refined circles, *esprit* (elegant repartee) is to be distinguished from:","understatement and the British litotes","the heavy pun and the coarse joke","fine irony and the veiled allusion","implication and tongue-in-cheek wit","*Esprit* is elegant repartee — the opposite of the laboured pun or the coarse joke."
"T2-038","Conversation: origins","Conversation conceived as a ""muted joust"", prizing quickness of mind, comes down from the salons of:","the post-war years","the Belle Époque","the Second Empire","the Enlightenment","The salons of the Enlightenment conceived of conversation as an exercise of wit, free of anger and of coarseness."
"T2-039","Conversation: its nature","French society conversation aims above all at:","the efficient exchange of information useful to each of the parties","the swift resolution of the questions raised at table","the exact transmission of data and of stated figures","an intellectual exercise in which form and implication come first","It favours form, implication and self-command over the airing of one's convictions."
"T2-040","The money taboo","Which sociologist traces the French taboo on money to a Catholic, aristocratic and revolutionary inheritance?","Jeanne Lazarus","Monique Pinçon-Charlot","Dominique Schnapper","Nathalie Heinich","Jeanne Lazarus, of Sciences Po, analyses these three roots of the money taboo."
"T2-041","The money taboo","Asking someone ""combien gagnes-tu ?"" (how much do you earn?) is, in France:","a disguised and rather flattering compliment","a commonplace question, of no consequence","regarded as a want of breeding","a mark of genuine interest","Money being taboo, to enquire about someone's income is taken as a want of breeding."
"T2-042","The money taboo","By contrast with France, Protestant Anglo-Saxon cultures tend to:","hold financial success to be a private matter","frown upon trade and the money professions","celebrate material success in public","judge material success to be in poor taste","Where France keeps silent about money, the Protestant tradition affirms material success far more openly."
"T2-043","Tone and humour","In refined French conversation:","fine irony is prized, but open aggression is proscribed","verbal one-upmanship is sought, to enliven the exchange","methodical contradiction passes for a mark of superior wit","frank aggression passes for a mark of sincerity","Fine irony is valued; frontal aggression is banished."
"T2-044","The art of saying no","To signal a reservation without refusing outright, one may say:","""c'est intéressant"" (that is interesting) or ""nous allons voir"" (we shall see)","""c'est non, et la décision est prise"" (the answer is no, and the decision is made)","""n'y comptez pas, je vous le dis franchement"" (do not count on it, I tell you frankly)","""je refuse, et je n'y reviendrai pas"" (I refuse, and I shall not revisit it)","These formulas convey a polite reservation without ever framing an explicit refusal."
"T2-045","The purpose of politeness","The ultimate aim of French conversational politeness is:","to be publicly proved right, in the sight and hearing of all the guests","to impose one's point of view by force of close argument","to set out one's convictions with clarity and firmness","to preserve the relationship and the comfort of the other person","Harmony in the relationship takes precedence over the need to be right, or to air one's opinions."
"T3-001","Seating / precedence","At a private dinner, the male guest of honour is seated:","at the table's end, facing the host","to the left of the hostess","directly opposite the hostess","to the right of the hostess","The male guest of honour sits to the right of the hostess; the female guest of honour to the right of the host."
"T3-002","Diplomatic precedence","At a private dinner bringing together a French minister and a serving foreign ambassador, who takes precedence at the hostess's right?","the French minister, by virtue of the ranks of the State","the foreign ambassador, by diplomatic courtesy","whichever has held office the longer, ranks being equal","the ambassador, if he is dean of the diplomatic corps","International courtesy accords precedence to the representative of a foreign sovereign power."
"T3-003","Seating / couples","At table, couples are traditionally seated apart, except:","couples who have been married more than ten years","couples who are being received for the first time","engaged couples and newlyweds of less than a year","couples who expressly ask to be seated together","Men and women alternate around the table and couples are separated, save for unions of less than a year."
